1;2021-10-05;55;#2022-32КЕ5СИЛ;2021-10-03;5;2;1;1
2;2021-10-05;54;#2022-97КЕ18СИЛ;2021-10-03;10;3;1;3
3;2021-11-02;220;#2022-81КЕ66СИЛ;2021-10-31;5;2;2;1
4;2021-11-02;225;#2022-54КЕ17СИЛ;2021-10-31;10;3;2;3
5;2021-12-10;450;#2022-72КЕ68СИЛ;2021-12-08;5;2;3;1
6;2021-12-10;422;#2022-97КЕ11СИЛ;2021-12-08;10;3;3;3
7;2021-12-25;53;#2022-77КЕ66СИЛ;2021-12-23;6;1;1;2
8;2022-01-19;52;#2022-27КЕ67СИЛ;2022-01-17;2;2;1;2
9;2022-01-22;221;#2022-96КЕ82СИЛ;2022-01-20;6;1;2;2
10;2022-02-02;55;#2022-6КЕ38СИЛ;2022-01-31;9;3;1;3
11;2022-02-13;1054;#2022-56КЕ54СИЛ;2022-02-11;5;2;4;1
12;2022-02-13;1026;#2022-88КЕ66СИЛ;2022-02-11;10;3;4;3
13;2022-02-16;221;#2022-5КЕ78СИЛ;2022-02-14;2;2;2;2
14;2022-03-01;407;#2022-16КЕ6СИЛ;2022-02-27;6;1;3;2
15;2022-03-02;219;#2022-38КЕ68СИЛ;2022-02-28;9;3;2;3
16;2022-03-14;53;#2022-70КЕ87СИЛ;2022-03-12;1;1;1;4
17;2022-03-26;403;#2022-42КЕ6СИЛ;2022-03-24;2;2;3;2
18;2022-04-09;405;#2022-34КЕ62СИЛ;2022-04-07;9;3;3;3
19;2022-04-11;210;#2022-16КЕ87СИЛ;2022-04-09;1;1;2;4
20;2022-05-03;52;#2022-21КЕ82СИЛ;2022-05-01;3;1;1;1
21;2022-05-05;1011;#2022-22КЕ87СИЛ;2022-05-03;6;1;4;4
22;2022-05-19;405;#2022-77КЕ23СИЛ;2022-05-17;1;1;3;4
23;2022-05-31;214;#2022-31КЕ19СИЛ;2022-05-29;3;1;2;1
24;2022-06-01;55;#2022-10КЕ19СИЛ;2022-05-30;4;1;1;2
25;2022-06-29;216;#2022-92КЕ16СИЛ;2022-06-27;4;1;2;2
26;2022-07-08;441;#2022-84КЕ73СИЛ;2022-07-06;3;1;3;1
27;2022-07-23;54;#2022-72КЕ89СИЛ;2022-07-21;7;1;1;4
28;2022-08-06;434;#2022-55КЕ37СИЛ;2022-08-04;4;1;3;2
29;2022-08-20;206;#2022-26КЕ57СИЛ;2022-08-18;7;1;2;4
30;2022-09-01;2053;#2022-99КЕ12СИЛ;2022-08-30;5;2;5;1
31;2022-09-01;2025;#2022-50КЕ10СИЛ;2022-08-30;10;3;5;3
32;2022-09-04;53;#2022-58КЕ94СИЛ;2022-09-02;8;1;1;4
33;2022-09-27;407;#2022-54КЕ66СИЛ;2022-09-25;7;1;3;4
34;2022-10-02;202;#2022-98КЕ93СИЛ;2022-09-30;8;1;2;4
35;2022-11-09;402;#2022-82КЕ69СИЛ;2022-11-07;8;1;3;4
36;2022-11-21;2010;#2022-78КЕ54СИЛ;2022-11-19;6;1;5;4
